COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Lombardia 3 - U02;Lombardia 3;FI;18227.786988106705;176926.93462750036
Lombardia 3 - U03;Lombardia 3;FI;15338.51542360569;156350.3343309611
Lombardia 3 - U04;Lombardia 3;FI;15345.125843541657;149379.0475662127
Lombardia 3 - U05;Lombardia 3;FI;16003.87732997163;147577.86525928974
Lombardia 4 - U01;Lombardia 4;FI;19834.660901993066;142901.90666890144
Lombardia 4 - U02;Lombardia 4;FI;19006.03890970035;161276.5622330904
Lombardia 4 - U03;Lombardia 4;FI;15868.05030356317;147015.1864758432
Lombardia 4 - U04;Lombardia 4;FI;14048.912295515316;141194.9422620237
Trentino-Alto Adige/Südtirol - U01;Trentino-Alto Adige/Südtirol;FI;7338.749708029723;104570.47535815835
Trentino-Alto Adige/Südtirol - U02;Trentino-Alto Adige/Südtirol;FI;6090.353852071239;90116.22547957301
Trentino-Alto Adige/Südtirol - U03;Trentino-Alto Adige/Südtirol;FI;3285.5347390520983;74605.34712642431
Trentino-Alto Adige/Südtirol - U04;Trentino-Alto Adige/Südtirol;FI;2164.5240345982183;73360.85453355312
Veneto 1 - U01;Veneto 1;FI;13488.582787228259;145419.14242082834
